character,frequency
alice,0.4520547945205479
hatter,0.0639269406392694
gryphon,0.06278538812785388
mock turtle,0.05707762557077625
duchess,0.045662100456621
two,0.04337899543378995
dormouse,0.04280821917808219
mouse,0.03995433789954338
march hare,0.03424657534246575
caterpillar,0.0319634703196347
white rabbit,0.0228310502283105
bill,0.019406392694063926
dodo,0.014269406392694063
cook,0.014269406392694063
pigeon,0.012557077625570776
five,0.0091324200913242
lory,0.00684931506849315
seven,0.00684931506849315
cheshire cat,0.005707762557077625
queen of hearts,0.0045662100456621
knave of hearts,0.0028538812785388126
duck,0.0028538812785388126
eaglet,0.0028538812785388126
frog-footman,0.001141552511415525
