character,frequency
hatter,0.11666666666666667
gryphon,0.11458333333333333
mock turtle,0.10416666666666667
duchess,0.08333333333333333
two,0.07916666666666666
dormouse,0.078125
mouse,0.07291666666666667
march hare,0.0625
caterpillar,0.058333333333333334
white rabbit,0.041666666666666664
bill,0.035416666666666666
dodo,0.026041666666666668
cook,0.026041666666666668
pigeon,0.022916666666666665
five,0.016666666666666666
lory,0.0125
seven,0.0125
cheshire cat,0.010416666666666666
queen of hearts,0.008333333333333333
knave of hearts,0.005208333333333333
duck,0.005208333333333333
eaglet,0.005208333333333333
frog-footman,0.0020833333333333333
