character,frequency
alice,0.45517241379310347
hatter,0.06436781609195402
gryphon,0.06321839080459771
mock turtle,0.05747126436781609
duchess,0.04597701149425287
two,0.04367816091954023
dormouse,0.04310344827586207
mouse,0.040229885057471264
march hare,0.034482758620689655
caterpillar,0.03218390804597701
white rabbit,0.022988505747126436
bill,0.01954022988505747
dodo,0.014367816091954023
cook,0.014367816091954023
five,0.009195402298850575
lory,0.006896551724137931
seven,0.006896551724137931
cheshire cat,0.005747126436781609
pigeon,0.005747126436781609
queen of hearts,0.004597701149425287
knave of hearts,0.0028735632183908046
duck,0.0028735632183908046
eaglet,0.0028735632183908046
frog-footman,0.0011494252873563218
