character,frequency
alice,0.47255369928400953
hatter,0.06682577565632458
gryphon,0.06563245823389022
mock turtle,0.059665871121718374
duchess,0.0477326968973747
dormouse,0.04474940334128878
mouse,0.041766109785202864
march hare,0.03579952267303103
caterpillar,0.03341288782816229
white rabbit,0.02386634844868735
bill,0.02028639618138425
dodo,0.014916467780429593
cook,0.014916467780429593
pigeon,0.013126491646778043
five,0.00954653937947494
lory,0.007159904534606206
seven,0.007159904534606206
cheshire cat,0.0059665871121718375
queen of hearts,0.00477326968973747
knave of hearts,0.0029832935560859188
eaglet,0.0029832935560859188
duck,0.0029832935560859188
frog-footman,0.0011933174224343676
