character,frequency
alice,0.5525197328476017
red queen,0.06800242865816636
humpty dumpty,0.05950212507589557
white queen,0.042501517911353974
tweedledum,0.041287188828172436
tweedledee,0.031572556162720096
unicorn,0.02671523982999393
sheep,0.0230722525804493
gnat,0.02185792349726776
lion,0.021250758955676987
tiger-lily,0.014571948998178506
rose,0.014571948998178506
hatta,0.013357619914996965
haigha,0.012143290831815421
white king,0.007285974499089253
frog,0.007285974499089253
white knight,0.007285974499089253
fawn,0.007285974499089253
red knight,0.006071645415907711
red king,0.006071645415907711
guard,0.006071645415907711
daisy,0.0024286581663630845
daisies,0.0024286581663630845
goat,0.0024286581663630845
violet,0.0012143290831815423
larkspur,0.0012143290831815423
