source,target,count,normalized_count
alice,bill,11,0.016591251885369532
alice,caterpillar,22,0.033182503770739065
alice,cheshire cat,10,0.015082956259426848
alice,cook,11,0.016591251885369532
alice,dodo,8,0.012066365007541479
alice,dormouse,27,0.04072398190045249
alice,duchess,38,0.05731523378582202
alice,duck,4,0.006033182503770739
alice,eaglet,4,0.006033182503770739
alice,five,6,0.00904977375565611
alice,frog-footman,1,0.0015082956259426848
alice,gryphon,42,0.06334841628959276
alice,hatter,41,0.06184012066365008
alice,knave of hearts,3,0.004524886877828055
alice,lory,6,0.00904977375565611
alice,march hare,30,0.04524886877828054
alice,mock turtle,42,0.06334841628959276
alice,mouse,51,0.07692307692307693
alice,pigeon,8,0.012066365007541479
alice,queen of hearts,5,0.007541478129713424
alice,seven,5,0.007541478129713424
alice,white rabbit,22,0.033182503770739065
bill,duchess,1,0.0015082956259426848
bill,mock turtle,1,0.0015082956259426848
bill,mouse,1,0.0015082956259426848
bill,white rabbit,1,0.0015082956259426848
caterpillar,gryphon,1,0.0015082956259426848
caterpillar,white rabbit,1,0.0015082956259426848
cheshire cat,cook,2,0.0030165912518853697
cheshire cat,duchess,2,0.0030165912518853697
cook,dormouse,1,0.0015082956259426848
cook,duchess,7,0.010558069381598794
cook,five,1,0.0015082956259426848
cook,hatter,1,0.0015082956259426848
cook,mouse,1,0.0015082956259426848
cook,seven,1,0.0015082956259426848
cook,white rabbit,1,0.0015082956259426848
dodo,duck,1,0.0015082956259426848
dodo,eaglet,4,0.006033182503770739
dodo,lory,1,0.0015082956259426848
dodo,mouse,2,0.0030165912518853697
dormouse,hatter,23,0.03469079939668175
dormouse,march hare,16,0.024132730015082957
dormouse,mouse,33,0.049773755656108594
dormouse,queen of hearts,1,0.0015082956259426848
dormouse,white rabbit,1,0.0015082956259426848
duchess,frog-footman,1,0.0015082956259426848
duchess,gryphon,1,0.0015082956259426848
duchess,hatter,1,0.0015082956259426848
duchess,march hare,1,0.0015082956259426848
duchess,mock turtle,2,0.0030165912518853697
duchess,mouse,2,0.0030165912518853697
duchess,white rabbit,3,0.004524886877828055
duck,eaglet,1,0.0015082956259426848
duck,gryphon,1,0.0015082956259426848
duck,lory,1,0.0015082956259426848
duck,mouse,3,0.004524886877828055
eaglet,lory,1,0.0015082956259426848
eaglet,mouse,1,0.0015082956259426848
five,seven,5,0.007541478129713424
gryphon,march hare,2,0.0030165912518853697
gryphon,mock turtle,36,0.05429864253393665
gryphon,mouse,2,0.0030165912518853697
gryphon,white rabbit,5,0.007541478129713424
hatter,knave of hearts,1,0.0015082956259426848
hatter,march hare,27,0.04072398190045249
hatter,mouse,25,0.03770739064856712
hatter,queen of hearts,2,0.0030165912518853697
hatter,white rabbit,1,0.0015082956259426848
bill,knave of hearts,1,0.0015082956259426848
knave of hearts,queen of hearts,3,0.004524886877828055
knave of hearts,white rabbit,2,0.0030165912518853697
lory,mouse,3,0.004524886877828055
march hare,mouse,13,0.0196078431372549
march hare,queen of hearts,1,0.0015082956259426848
march hare,white rabbit,1,0.0015082956259426848
caterpillar,mock turtle,1,0.0015082956259426848
duck,mock turtle,2,0.0030165912518853697
mouse,queen of hearts,1,0.0015082956259426848
mouse,white rabbit,2,0.0030165912518853697
bill,queen of hearts,1,0.0015082956259426848
gryphon,queen of hearts,1,0.0015082956259426848
queen of hearts,white rabbit,3,0.004524886877828055
mock turtle,white rabbit,1,0.0015082956259426848
