source,target,count,normalized_count
daisies,daisy,1,0.007142857142857143
daisies,lily,2,0.014285714285714285
daisies,tiger-lily,2,0.014285714285714285
daisy,rose,1,0.007142857142857143
gnat,goat,2,0.014285714285714285
goat,guard,1,0.007142857142857143
haigha,hatta,4,0.02857142857142857
haigha,lion,1,0.007142857142857143
haigha,unicorn,5,0.03571428571428571
hatta,lion,3,0.02142857142857143
hatta,unicorn,3,0.02142857142857143
humpty dumpty,tweedledee,1,0.007142857142857143
humpty dumpty,white king,1,0.007142857142857143
humpty dumpty,white queen,1,0.007142857142857143
larkspur,rose,1,0.007142857142857143
daisy,lily,1,0.007142857142857143
lily,rose,4,0.02857142857142857
lily,tiger-lily,10,0.07142857142857142
lily,violet,1,0.007142857142857143
lily,white queen,2,0.014285714285714285
humpty dumpty,lion,1,0.007142857142857143
lion,unicorn,13,0.09285714285714286
lion,red king,2,0.014285714285714285
red king,red queen,1,0.007142857142857143
red king,tweedledee,1,0.007142857142857143
red king,unicorn,1,0.007142857142857143
red king,white king,1,0.007142857142857143
red king,white queen,1,0.007142857142857143
red knight,white knight,4,0.02857142857142857
frog,red queen,1,0.007142857142857143
humpty dumpty,red queen,1,0.007142857142857143
larkspur,red queen,1,0.007142857142857143
red queen,rose,1,0.007142857142857143
red queen,white king,1,0.007142857142857143
red queen,white queen,24,0.17142857142857143
rose,tiger-lily,7,0.05
rose,tweedledee,1,0.007142857142857143
rose,tweedledum,1,0.007142857142857143
rose,violet,1,0.007142857142857143
daisy,tiger-lily,1,0.007142857142857143
tiger-lily,violet,1,0.007142857142857143
lion,tweedledee,1,0.007142857142857143
tweedledee,tweedledum,20,0.14285714285714285
red king,tweedledum,1,0.007142857142857143
humpty dumpty,unicorn,1,0.007142857142857143
lily,white king,1,0.007142857142857143
white king,white knight,1,0.007142857142857143
white king,white queen,1,0.007142857142857143
frog,white queen,1,0.007142857142857143
