source,target,count,normalized_count
alice,daisies,3,0.00631578947368421
alice,daisy,1,0.002105263157894737
alice,fawn,6,0.01263157894736842
alice,frog,7,0.014736842105263158
alice,gnat,15,0.031578947368421054
alice,goat,3,0.00631578947368421
alice,guard,5,0.010526315789473684
alice,haigha,9,0.018947368421052633
alice,hatta,5,0.010526315789473684
alice,humpty dumpty,43,0.09052631578947369
alice,larkspur,1,0.002105263157894737
alice,lion,14,0.029473684210526315
alice,red king,4,0.008421052631578947
alice,red knight,5,0.010526315789473684
alice,red queen,54,0.11368421052631579
alice,rose,10,0.021052631578947368
alice,sheep,20,0.042105263157894736
alice,tiger-lily,10,0.021052631578947368
alice,tweedledee,32,0.06736842105263158
alice,tweedledum,34,0.07157894736842105
alice,unicorn,16,0.03368421052631579
alice,violet,2,0.004210526315789474
alice,white king,10,0.021052631578947368
alice,white knight,8,0.016842105263157894
alice,white queen,39,0.08210526315789474
daisies,daisy,1,0.002105263157894737
daisies,tiger-lily,2,0.004210526315789474
daisy,rose,1,0.002105263157894737
gnat,goat,2,0.004210526315789474
goat,guard,1,0.002105263157894737
haigha,hatta,4,0.008421052631578947
haigha,lion,1,0.002105263157894737
haigha,unicorn,5,0.010526315789473684
hatta,lion,3,0.00631578947368421
hatta,unicorn,3,0.00631578947368421
humpty dumpty,tweedledee,1,0.002105263157894737
humpty dumpty,white king,1,0.002105263157894737
humpty dumpty,white queen,1,0.002105263157894737
larkspur,rose,1,0.002105263157894737
humpty dumpty,lion,1,0.002105263157894737
lion,unicorn,13,0.02736842105263158
lion,red king,2,0.004210526315789474
red king,red queen,1,0.002105263157894737
red king,tweedledee,1,0.002105263157894737
red king,unicorn,1,0.002105263157894737
red king,white king,1,0.002105263157894737
red king,white queen,1,0.002105263157894737
red knight,white knight,4,0.008421052631578947
frog,red queen,1,0.002105263157894737
humpty dumpty,red queen,1,0.002105263157894737
larkspur,red queen,1,0.002105263157894737
red queen,rose,1,0.002105263157894737
red queen,white king,1,0.002105263157894737
red queen,white queen,24,0.05052631578947368
rose,tiger-lily,7,0.014736842105263158
rose,tweedledee,1,0.002105263157894737
rose,tweedledum,1,0.002105263157894737
rose,violet,1,0.002105263157894737
daisy,tiger-lily,1,0.002105263157894737
tiger-lily,violet,1,0.002105263157894737
lion,tweedledee,1,0.002105263157894737
tweedledee,tweedledum,20,0.042105263157894736
red king,tweedledum,1,0.002105263157894737
humpty dumpty,unicorn,1,0.002105263157894737
white king,white knight,1,0.002105263157894737
white king,white queen,1,0.002105263157894737
frog,white queen,1,0.002105263157894737
