source,target,count,normalized_count
alice,daisies,3,0.005905511811023622
alice,daisy,1,0.001968503937007874
alice,fawn,6,0.011811023622047244
alice,frog,7,0.013779527559055118
alice,gnat,15,0.02952755905511811
alice,goat,3,0.005905511811023622
alice,guard,5,0.00984251968503937
alice,haigha,9,0.017716535433070866
alice,hatta,5,0.00984251968503937
alice,humpty dumpty,43,0.08464566929133858
alice,larkspur,1,0.001968503937007874
alice,lily,12,0.023622047244094488
alice,lion,14,0.027559055118110236
alice,red king,4,0.007874015748031496
alice,red knight,5,0.00984251968503937
alice,red queen,54,0.1062992125984252
alice,rose,10,0.01968503937007874
alice,sheep,20,0.03937007874015748
alice,tiger-lily,10,0.01968503937007874
alice,tweedledee,32,0.06299212598425197
alice,tweedledum,34,0.06692913385826772
alice,unicorn,16,0.031496062992125984
alice,violet,2,0.003937007874015748
alice,white king,10,0.01968503937007874
alice,white knight,8,0.015748031496062992
alice,white queen,39,0.07677165354330709
daisies,daisy,1,0.001968503937007874
daisies,lily,2,0.003937007874015748
daisies,tiger-lily,2,0.003937007874015748
daisy,rose,1,0.001968503937007874
gnat,goat,2,0.003937007874015748
goat,guard,1,0.001968503937007874
haigha,hatta,4,0.007874015748031496
haigha,lion,1,0.001968503937007874
haigha,unicorn,5,0.00984251968503937
hatta,lion,3,0.005905511811023622
hatta,unicorn,3,0.005905511811023622
humpty dumpty,tweedledee,1,0.001968503937007874
humpty dumpty,white king,1,0.001968503937007874
humpty dumpty,white queen,1,0.001968503937007874
larkspur,rose,1,0.001968503937007874
daisy,lily,1,0.001968503937007874
lily,rose,4,0.007874015748031496
lily,tiger-lily,10,0.01968503937007874
lily,violet,1,0.001968503937007874
lily,white queen,2,0.003937007874015748
humpty dumpty,lion,1,0.001968503937007874
lion,unicorn,13,0.025590551181102362
lion,red king,2,0.003937007874015748
red king,red queen,1,0.001968503937007874
red king,tweedledee,1,0.001968503937007874
red king,unicorn,1,0.001968503937007874
red king,white king,1,0.001968503937007874
red king,white queen,1,0.001968503937007874
red knight,white knight,4,0.007874015748031496
frog,red queen,1,0.001968503937007874
humpty dumpty,red queen,1,0.001968503937007874
larkspur,red queen,1,0.001968503937007874
red queen,rose,1,0.001968503937007874
red queen,white king,1,0.001968503937007874
red queen,white queen,24,0.047244094488188976
rose,tiger-lily,7,0.013779527559055118
rose,tweedledee,1,0.001968503937007874
rose,tweedledum,1,0.001968503937007874
rose,violet,1,0.001968503937007874
daisy,tiger-lily,1,0.001968503937007874
tiger-lily,violet,1,0.001968503937007874
lion,tweedledee,1,0.001968503937007874
tweedledee,tweedledum,20,0.03937007874015748
red king,tweedledum,1,0.001968503937007874
humpty dumpty,unicorn,1,0.001968503937007874
lily,white king,1,0.001968503937007874
white king,white knight,1,0.001968503937007874
white king,white queen,1,0.001968503937007874
frog,white queen,1,0.001968503937007874
